2021-10-10_15-16-56.236Started
2021-10-10_15-16-56.236Local directory is: E:\Documents\08_Github Local Repo\python_trackir
2021-10-10_15-16-56.236Version: 1.0
2021-10-10_15-16-56.303Timestamp[ms], Frame Number, Roll[deg], Pitch[deg], Yaw[deg], X[m], Y[m], Z[m]
2021-10-10_15-16-56.784,481,31740,-20.03668,16.16268,-1.55216,71.32726,6.80918,1.83835
2021-10-10_15-16-56.792,489,31741,-19.96223,16.34205,-1.82843,71.42104,6.91957,1.96071
2021-10-10_15-16-56.800,497,31742,-19.88964,16.51302,-2.10475,71.50718,7.03506,2.06889
2021-10-10_15-16-56.808,505,31743,-19.82780,16.68832,-2.32235,71.58487,7.14323,2.17346
2021-10-10_15-16-56.816,513,31744,-19.75969,16.87131,-2.52456,71.66695,7.25394,2.26539
2021-10-10_15-16-56.824,521,31745,-19.69867,17.07491,-2.69200,71.74953,7.36051,2.35317
2021-10-10_15-16-56.832,529,31746,-19.63526,17.27988,-2.85985,71.82648,7.47211,2.41322
2021-10-10_15-16-56.840,537,31747,-19.57698,17.46537,-2.99634,71.90569,7.56373,2.51316
2021-10-10_15-16-56.848,545,31748,-19.51819,17.61029,-3.15949,71.97523,7.66441,2.59400
2021-10-10_15-16-56.856,553,31749,-19.45709,17.72834,-3.33095,72.04432,7.75544,2.68410
2021-10-10_15-16-56.868,565,31750,-19.40102,17.84846,-3.48399,72.11518,7.83684,2.77826
2021-10-10_15-16-56.876,573,31751,-19.34753,17.97858,-3.65346,72.18621,7.91975,2.86762
2021-10-10_15-16-56.884,581,31752,-19.28780,18.08905,-3.83359,72.25809,7.99869,2.94878
2021-10-10_15-16-56.892,589,31753,-19.24352,18.23916,-3.97353,72.31725,8.07801,2.99345
2021-10-10_15-16-56.900,597,31754,-19.20236,18.36357,-4.11683,72.36577,8.15634,3.03874
2021-10-10_15-16-56.908,605,31755,-19.16358,18.47671,-4.23374,72.42064,8.21715,3.11049
2021-10-10_15-16-56.916,613,31756,-19.12210,18.54727,-4.35516,72.46912,8.27723,3.17919
2021-10-10_15-16-56.924,621,31757,-19.08408,18.61887,-4.48240,72.51013,8.34012,3.22813
2021-10-10_15-16-56.932,629,31758,-19.04605,18.68203,-4.60288,72.55503,8.39302,3.28785
2021-10-10_15-16-56.940,637,31759,-19.01516,18.74040,-4.68093,72.59824,8.42792,3.35769
2021-10-10_15-16-56.948,645,31760,-18.99405,18.83053,-4.73715,72.63402,8.46287,3.40022
2021-10-10_15-16-56.956,653,31761,-18.96976,18.89336,-4.78683,72.67432,8.48440,3.46248
2021-10-10_15-16-56.964,661,31762,-18.94846,18.96654,-4.83561,72.70943,8.50861,3.50525
2021-10-10_15-16-56.976,673,31763,-18.93025,19.02966,-4.89499,72.74024,8.52885,3.56017
2021-10-10_15-16-56.984,681,31764,-18.91256,19.08987,-4.95257,72.77083,8.54755,3.61176
2021-10-10_15-16-56.992,689,31765,-18.89754,19.12939,-4.99604,72.79546,8.55750,3.67198
2021-10-10_15-16-57.000,697,31766,-18.88180,19.16237,-5.04421,72.82137,8.56580,3.73409
2021-10-10_15-16-57.008,705,31767,-18.87078,19.21048,-5.09495,72.84407,8.57396,3.79256
2021-10-10_15-16-57.016,713,31768,-18.86224,19.25044,-5.13598,72.86058,8.57912,3.84914
2021-10-10_15-16-57.024,721,31769,-18.85256,19.27833,-5.17279,72.87388,8.58390,3.89862
2021-10-10_15-16-57.032,729,31770,-18.84408,19.30223,-5.20948,72.88689,8.58608,3.95365
2021-10-10_15-16-57.040,737,31771,-18.83727,19.32111,-5.23881,72.89799,8.58446,4.01217
2021-10-10_15-16-57.048,745,31772,-18.83037,19.34301,-5.27417,72.90638,8.58749,4.05879
2021-10-10_15-16-57.056,753,31773,-18.82202,19.36276,-5.30495,72.91685,8.58804,4.10268
2021-10-10_15-16-57.064,761,31774,-18.81634,19.38102,-5.34347,72.92029,8.59002,4.14425
2021-10-10_15-16-57.072,769,31775,-18.81037,19.39541,-5.37658,72.91949,8.59459,4.16726
2021-10-10_15-16-57.084,781,31776,-18.80538,19.41664,-5.41589,72.91762,8.60022,4.18770
2021-10-10_15-16-57.092,789,31777,-18.80041,19.43218,-5.45601,72.91443,8.60536,4.20768
2021-10-10_15-16-57.100,797,31778,-18.79591,19.44520,-5.49521,72.91083,8.60844,4.23016
2021-10-10_15-16-57.108,805,31779,-18.79143,19.46132,-5.53565,72.90651,8.61168,4.24823
2021-10-10_15-16-57.116,813,31780,-18.78862,19.48068,-5.57021,72.90163,8.61207,4.26780
2021-10-10_15-16-57.124,821,31781,-18.78621,19.50577,-5.59802,72.90343,8.60570,4.30432
2021-10-10_15-16-57.132,829,31782,-18.78364,19.53178,-5.62925,72.90253,8.60134,4.33260
2021-10-10_15-16-57.140,837,31783,-18.78199,19.55760,-5.65965,72.89973,8.59706,4.36097
2021-10-10_15-16-57.148,845,31784,-18.78076,19.58613,-5.68318,72.89662,8.59105,4.38712
2021-10-10_15-16-57.156,853,31785,-18.78007,19.61451,-5.70722,72.89452,8.58259,4.42103
2021-10-10_15-16-57.164,861,31786,-18.77824,19.63864,-5.73172,72.89335,8.57343,4.45558
2021-10-10_15-16-57.172,869,31787,-18.77598,19.66366,-5.75807,72.89010,8.56624,4.48356
2021-10-10_15-16-57.184,881,31788,-18.77333,19.69147,-5.78469,72.88988,8.55739,4.51311
2021-10-10_15-16-57.192,889,31789,-18.77078,19.71849,-5.80038,72.89118,8.54465,4.54357
2021-10-10_15-16-57.200,897,31790,-18.76964,19.74912,-5.82210,72.88875,8.53519,4.56998
2021-10-10_15-16-57.208,905,31791,-18.76858,19.77742,-5.83680,72.88638,8.52376,4.59630
2021-10-10_15-16-57.216,913,31792,-18.76616,19.80538,-5.85899,72.88103,8.51754,4.60654
2021-10-10_15-16-57.224,921,31793,-18.76395,19.83166,-5.88280,72.87569,8.51155,4.61823
2021-10-10_15-16-57.232,929,31794,-18.76253,19.86032,-5.90739,72.86809,8.50657,4.62659
2021-10-10_15-16-57.240,937,31795,-18.76031,19.88920,-5.93108,72.86244,8.50113,4.63434
2021-10-10_15-16-57.248,945,31796,-18.75905,19.91954,-5.95394,72.85622,8.49442,4.64517
2021-10-10_15-16-57.256,953,31797,-18.75729,19.94678,-5.98141,72.85073,8.48672,4.66072
2021-10-10_15-16-57.264,961,31798,-18.75522,19.97395,-6.00693,72.84925,8.47573,4.68490
2021-10-10_15-16-57.272,969,31799,-18.75394,19.99932,-6.02545,72.84496,8.46498,4.70526
2021-10-10_15-16-57.280,977,31800,-18.75182,20.01444,-6.04050,72.84244,8.45060,4.73168
2021-10-10_15-16-57.292,989,31801,-18.75036,20.02721,-6.05690,72.83949,8.43466,4.76383
2021-10-10_15-16-57.300,997,31802,-18.74943,20.04096,-6.07590,72.83519,8.41995,4.79500
2021-10-10_15-16-57.308,1005,31803,-18.74877,20.05527,-6.08983,72.83083,8.40393,4.82654
2021-10-10_15-16-57.316,1013,31804,-18.74796,20.07178,-6.10373,72.82818,8.38696,4.86116
2021-10-10_15-16-57.324,1021,31805,-18.74654,20.08846,-6.11818,72.82650,8.36976,4.89556
2021-10-10_15-16-57.332,1029,31806,-18.74551,20.10429,-6.13452,72.82327,8.35400,4.92772
2021-10-10_15-16-57.340,1037,31807,-18.74489,20.12367,-6.14540,72.82079,8.33640,4.96072
2021-10-10_15-16-57.348,1045,31808,-18.74382,20.14200,-6.16363,72.81793,8.32015,4.99447
2021-10-10_15-16-57.356,1053,31809,-18.74292,20.15580,-6.17871,72.81435,8.30295,5.02988
2021-10-10_15-16-57.364,1061,31810,-18.74148,20.16307,-6.19482,72.81103,8.28478,5.06881
2021-10-10_15-16-57.372,1069,31811,-18.74050,20.17294,-6.20807,72.80527,8.26817,5.10065
2021-10-10_15-16-57.380,1077,31812,-18.73947,20.18358,-6.22244,72.79953,8.25229,5.13038
2021-10-10_15-16-57.388,1085,31813,-18.73827,20.19231,-6.23770,72.79372,8.23658,5.16044
2021-10-10_15-16-57.400,1097,31814,-18.73648,20.20140,-6.25426,72.78767,8.22245,5.18475
2021-10-10_15-16-57.408,1105,31815,-18.73496,20.20929,-6.27227,72.78049,8.20837,5.20925
2021-10-10_15-16-57.416,1113,31816,-18.73371,20.21840,-6.29297,72.77256,8.19510,5.23301
2021-10-10_15-16-57.424,1121,31817,-18.73191,20.23269,-6.31366,72.76568,8.18199,5.25229
2021-10-10_15-16-57.432,1129,31818,-18.73006,20.24661,-6.34054,72.75844,8.16918,5.27347
2021-10-10_15-16-57.440,1137,31819,-18.72795,20.26117,-6.36981,72.75261,8.15648,5.29485
2021-10-10_15-16-57.448,1145,31820,-18.72648,20.27689,-6.40044,72.74515,8.14359,5.31563
2021-10-10_15-16-57.456,1153,31821,-18.72505,20.29105,-6.42841,72.73753,8.13004,5.33611
2021-10-10_15-16-57.464,1161,31822,-18.72364,20.30348,-6.45958,72.72582,8.11931,5.34546
2021-10-10_15-16-57.472,1169,31823,-18.72240,20.31834,-6.49161,72.71715,8.10610,5.36417
2021-10-10_15-16-57.480,1177,31824,-18.72132,20.33583,-6.52405,72.70795,8.09399,5.37920
2021-10-10_15-16-57.488,1185,31825,-18.72038,20.35801,-6.55978,72.69861,8.08277,5.39161
