2021-10-10_15-16-56.236Started
2021-10-10_15-16-56.236Local directory is: E:\Documents\08_Github Local Repo\python_trackir
2021-10-10_15-16-56.236Version: 1.0
2021-10-10_15-16-56.303Timestamp[ms], Frame Number, Roll[deg], Pitch[deg], Yaw[deg], X[m], Y[m], Z[m]
2021-10-10_15-16-58.364,2061,31930,-26.23572,-9.69196,15.72452,60.28256,-4.24129,-23.41708
2021-10-10_15-16-58.372,2069,31931,-26.25811,-9.63560,16.17365,60.10786,-4.40825,-22.87712
2021-10-10_15-16-58.380,2077,31932,-26.27982,-9.56651,16.46939,59.90994,-4.55890,-22.27333
2021-10-10_15-16-58.388,2085,31933,-26.29940,-9.51307,16.71346,59.65961,-4.71975,-21.56933
2021-10-10_15-16-58.396,2093,31934,-26.31470,-9.46382,16.95211,59.38079,-4.88686,-20.79125
2021-10-10_15-16-58.404,2101,31935,-26.33052,-9.40884,17.18189,59.09549,-5.05002,-20.01995
2021-10-10_15-16-58.412,2109,31936,-26.34183,-9.29646,17.56175,58.81361,-5.25659,-19.13384
2021-10-10_15-16-58.420,2117,31937,-26.35034,-9.17718,17.98483,58.51985,-5.44466,-18.31130
2021-10-10_15-16-58.432,2129,31938,-26.35794,-9.02665,18.55745,58.27170,-5.63157,-17.60243
2021-10-10_15-16-58.440,2137,31939,-26.37379,-8.91820,18.89677,58.04320,-5.76932,-17.02969
2021-10-10_15-16-58.448,2145,31940,-26.38399,-8.86590,19.29833,57.82436,-5.91905,-16.51509
2021-10-10_15-16-58.456,2153,31941,-26.39217,-8.79647,19.80541,57.62509,-6.07262,-16.02707
2021-10-10_15-16-58.464,2161,31942,-26.40018,-8.69325,20.42930,57.43614,-6.24819,-15.51930
2021-10-10_15-16-58.472,2169,31943,-26.41034,-8.60837,20.89282,57.26208,-6.39533,-15.09723
2021-10-10_15-16-58.480,2177,31944,-26.42247,-8.53738,21.27168,57.09993,-6.53292,-14.71957
2021-10-10_15-16-58.488,2185,31945,-26.43608,-8.52260,21.45795,56.95244,-6.63223,-14.46005
2021-10-10_15-16-58.496,2193,31946,-26.44789,-8.42172,21.75048,56.82833,-6.75438,-14.14236
2021-10-10_15-16-58.504,2201,31947,-26.45964,-8.33778,22.02196,56.68316,-6.88496,-13.79801
2021-10-10_15-16-58.512,2209,31948,-26.47116,-8.23296,22.28178,56.53976,-7.01922,-13.43625
2021-10-10_15-16-58.520,2217,31949,-26.48319,-8.14160,22.49402,56.39956,-7.14240,-13.11169
2021-10-10_15-16-58.528,2225,31950,-26.49458,-8.02976,22.73541,56.26302,-7.27530,-12.77548
2021-10-10_15-16-58.536,2233,31951,-26.50562,-7.92682,22.95758,56.10524,-7.41955,-12.39828
2021-10-10_15-16-58.548,2245,31952,-26.51494,-7.80802,23.15606,55.97540,-7.54219,-12.08271
2021-10-10_15-16-58.556,2253,31953,-26.52056,-7.67148,23.40807,55.81926,-7.70190,-11.67225
2021-10-10_15-16-58.564,2261,31954,-26.53083,-7.48862,23.63140,55.67251,-7.85148,-11.27933
2021-10-10_15-16-58.572,2269,31955,-26.54047,-7.30375,23.81070,55.49689,-8.01923,-10.83595
2021-10-10_15-16-58.580,2277,31956,-26.54632,-7.08918,23.99868,55.32933,-8.19248,-10.38349
2021-10-10_15-16-58.588,2285,31957,-26.55302,-6.85685,24.11388,55.17180,-8.34648,-9.96523
2021-10-10_15-16-58.596,2293,31958,-26.55970,-6.56253,24.23070,55.01770,-8.51265,-9.52356
2021-10-10_15-16-58.604,2301,31959,-26.56422,-6.20380,24.35886,54.83744,-8.71793,-8.99734
2021-10-10_15-16-58.612,2309,31960,-26.56890,-5.81671,24.42717,54.66474,-8.90812,-8.48458
2021-10-10_15-16-58.620,2317,31961,-26.57405,-5.30288,24.47659,54.51180,-9.09817,-7.97090
2021-10-10_15-16-58.628,2325,31962,-26.57438,-4.87245,24.51708,54.35306,-9.29729,-7.43885
2021-10-10_15-16-58.636,2333,31963,-26.57410,-4.41380,24.57931,54.21119,-9.51141,-6.90747
2021-10-10_15-16-58.644,2341,31964,-26.57386,-3.92859,24.58406,54.06746,-9.72515,-6.34200
2021-10-10_15-16-58.656,2353,31965,-26.57264,-3.36041,24.59964,53.94909,-9.94636,-5.78745
2021-10-10_15-16-58.664,2361,31966,-26.57015,-3.00060,24.57802,53.80830,-10.16191,-5.22907
2021-10-10_15-16-58.672,2369,31967,-26.56871,-2.46024,24.56281,53.71698,-10.37098,-4.70709
2021-10-10_15-16-58.680,2377,31968,-26.56369,-2.05713,24.54023,53.58611,-10.61583,-4.09083
2021-10-10_15-16-58.688,2385,31969,-26.56045,-1.53097,24.50352,53.47545,-10.84724,-3.49514
2021-10-10_15-16-58.696,2393,31970,-26.55434,-0.97174,24.47433,53.38306,-11.08201,-2.91775
2021-10-10_15-16-58.704,2401,31971,-26.54719,-0.45251,24.43023,53.27752,-11.31827,-2.32122
2021-10-10_15-16-58.712,2409,31972,-26.53884,0.22453,24.38696,53.20628,-11.54376,-1.76544
2021-10-10_15-16-58.720,2417,31973,-26.52848,0.87991,24.31954,53.12572,-11.76841,-1.17944
2021-10-10_15-16-58.728,2425,31974,-26.51542,1.59681,24.25044,53.05047,-12.02178,-0.53331
2021-10-10_15-16-58.736,2433,31975,-26.49645,2.36631,24.20341,53.00239,-12.29749,0.13481
2021-10-10_15-16-58.744,2441,31976,-26.46770,3.08499,24.17342,52.95593,-12.61926,0.88746
2021-10-10_15-16-58.752,2449,31977,-26.42851,3.77964,24.13499,52.89225,-12.98070,1.75071
2021-10-10_15-16-58.764,2461,31978,-26.37066,4.40601,24.11285,52.82317,-13.39090,2.71161
2021-10-10_15-16-58.772,2469,31979,-26.29496,5.11597,24.07654,52.76112,-13.79497,3.68402
2021-10-10_15-16-58.780,2477,31980,-26.20107,5.85766,24.03055,52.71906,-14.18395,4.65141
2021-10-10_15-16-58.788,2485,31981,-26.09032,6.64484,23.97812,52.70065,-14.55451,5.61039
2021-10-10_15-16-58.796,2493,31982,-25.97644,7.61172,23.91132,52.76935,-14.79612,6.35568
2021-10-10_15-16-58.804,2501,31983,-25.85747,8.57007,23.81519,52.89048,-14.96027,7.09907
2021-10-10_15-16-58.812,2509,31984,-25.73901,9.55671,23.62702,53.09560,-14.92594,7.73618
2021-10-10_15-16-58.820,2517,31985,-25.60395,10.52616,23.31607,53.48284,-14.70782,8.48324
2021-10-10_15-16-58.828,2525,31986,-25.44471,11.31724,22.87328,53.88334,-14.48280,9.39386
2021-10-10_15-16-58.832,2529,31987,-25.25608,12.06101,22.35099,54.21267,-14.35385,10.33759
2021-10-10_15-16-58.840,2537,31988,-25.06650,12.85910,21.85576,54.52761,-14.22528,11.16731
2021-10-10_15-16-58.848,2545,31989,-24.90827,13.71206,21.27300,54.84387,-14.08054,11.97454
2021-10-10_15-16-58.856,2553,31990,-24.75700,14.49866,20.68791,55.14944,-13.94982,12.75273
2021-10-10_15-16-58.864,2561,31991,-24.62025,15.36093,20.18140,55.47859,-13.74312,13.35320
2021-10-10_15-16-58.872,2569,31992,-24.49448,16.12938,19.59370,55.78488,-13.53264,13.92349
2021-10-10_15-16-58.880,2577,31993,-24.36821,16.93123,19.07142,56.09825,-13.30859,14.42258
2021-10-10_15-16-58.888,2585,31994,-24.24199,17.76154,18.58932,56.42276,-13.10153,14.92173
2021-10-10_15-16-58.896,2593,31995,-24.10474,18.52246,18.16070,56.73587,-12.91777,15.40482
2021-10-10_15-16-58.904,2601,31996,-23.94866,19.21706,17.75246,57.03782,-12.77177,15.90846
2021-10-10_15-16-58.920,2617,31997,-23.77944,19.92321,17.25658,57.33818,-12.58639,16.35796
2021-10-10_15-16-58.924,2621,31998,-23.59686,20.56097,16.69874,57.63824,-12.44614,16.87153
2021-10-10_15-16-58.936,2633,31999,-23.38809,21.23320,16.18627,57.94990,-12.33000,17.39683
2021-10-10_15-16-58.940,2637,32000,-23.14673,21.82095,15.62882,58.26697,-12.24984,17.97699
2021-10-10_15-16-58.952,2649,32001,-22.91361,22.34141,15.09857,58.56331,-12.18213,18.53228
2021-10-10_15-16-58.960,2657,32002,-22.68461,22.89635,14.50759,58.86667,-12.06827,19.01584
2021-10-10_15-16-58.964,2661,32003,-22.47030,23.35824,13.92174,59.16505,-11.98281,19.52678
2021-10-10_15-16-58.980,2677,32004,-22.27336,23.69393,13.23658,59.43156,-11.84931,19.94675
2021-10-10_15-16-58.988,2685,32005,-22.09081,24.00886,12.58134,59.69721,-11.72493,20.38524
2021-10-10_15-16-58.996,2693,32006,-21.91779,24.25173,11.97465,59.93007,-11.58835,20.77458
2021-10-10_15-16-59.004,2701,32007,-21.75259,24.48905,11.34653,60.14444,-11.41572,21.11786
2021-10-10_15-16-59.012,2709,32008,-21.59188,24.69352,10.83067,60.31385,-11.20741,21.35473
2021-10-10_15-16-59.020,2717,32009,-21.43806,24.86774,10.24501,60.45085,-10.99927,21.60988
2021-10-10_15-16-59.028,2725,32010,-21.30301,25.03314,9.71781,60.55035,-10.77799,21.83665
2021-10-10_15-16-59.036,2733,32011,-21.17500,25.19677,9.28399,60.63165,-10.54690,22.00369
2021-10-10_15-16-59.044,2741,32012,-21.05467,25.29855,8.80951,60.66835,-10.33277,22.24158
2021-10-10_15-16-59.052,2749,32013,-20.94532,25.38289,8.35762,60.66812,-10.09828,22.43826
2021-10-10_15-16-59.060,2757,32014,-20.84431,25.43549,7.94390,60.65226,-9.88775,22.64696
2021-10-10_15-16-59.068,2765,32015,-20.75796,25.48868,7.62696,60.62815,-9.66413,22.75688
2021-10-10_15-16-59.072,2769,32016,-20.68185,25.53246,7.36146,60.60403,-9.45862,22.83994
2021-10-10_15-16-59.088,2785,32017,-20.61925,25.54592,7.09167,60.55885,-9.26774,22.93290
2021-10-10_15-16-59.096,2793,32018,-20.56111,25.53912,6.78163,60.50980,-9.10229,23.05886
2021-10-10_15-16-59.104,2801,32019,-20.51047,25.51689,6.41425,60.43928,-8.92090,23.14203
2021-10-10_15-16-59.112,2809,32020,-20.46425,25.48662,6.02357,60.37012,-8.75385,23.21194
2021-10-10_15-16-59.120,2817,32021,-20.41716,25.43124,5.63963,60.29602,-8.60725,23.29167
2021-10-10_15-16-59.128,2825,32022,-20.37881,25.36284,5.29132,60.20297,-8.44733,23.32243
2021-10-10_15-16-59.136,2833,32023,-20.33813,25.26582,4.92477,60.11375,-8.29731,23.35854
2021-10-10_15-16-59.144,2841,32024,-20.29987,25.10806,4.52224,60.00756,-8.13630,23.35504
2021-10-10_15-16-59.152,2849,32025,-20.27013,24.76142,4.11220,59.87641,-7.96139,23.31200
2021-10-10_15-16-59.160,2857,32026,-20.24079,24.25494,3.73308,59.73373,-7.78640,23.24489
2021-10-10_15-16-59.168,2865,32027,-20.21658,23.67617,3.30907,59.55687,-7.58055,23.13900
2021-10-10_15-16-59.176,2873,32028,-20.19991,23.07374,2.93591,59.34033,-7.33557,22.90545
2021-10-10_15-16-59.188,2885,32029,-20.18627,22.47742,2.61259,59.06262,-7.01413,22.43871
2021-10-10_15-16-59.196,2893,32030,-20.17525,21.90200,2.33249,58.70417,-6.58785,21.62438
2021-10-10_15-16-59.204,2901,32031,-20.16682,21.26949,2.08820,58.28361,-6.09588,20.57387
2021-10-10_15-16-59.212,2909,32032,-20.16038,20.59660,1.86611,57.82277,-5.56500,19.37646
2021-10-10_15-16-59.220,2917,32033,-20.15884,19.89911,1.69028,57.35146,-5.04297,18.17918
2021-10-10_15-16-59.228,2925,32034,-20.15916,19.12201,1.56326,56.92015,-4.60080,17.19852
2021-10-10_15-16-59.236,2933,32035,-20.16293,18.24936,1.50938,56.51015,-4.22274,16.33323
2021-10-10_15-16-59.244,2941,32036,-20.17109,17.43082,1.47569,56.12656,-3.90852,15.55492
2021-10-10_15-16-59.252,2949,32037,-20.18446,16.56253,1.44802,55.70822,-3.59647,14.71820
2021-10-10_15-16-59.260,2957,32038,-20.20105,15.65028,1.46621,55.27249,-3.32548,13.80893
2021-10-10_15-16-59.268,2965,32039,-20.22164,14.81853,1.48613,54.82926,-3.09923,12.83211
2021-10-10_15-16-59.276,2973,32040,-20.24947,13.98202,1.53658,54.37407,-2.93179,11.80670
2021-10-10_15-16-59.288,2985,32041,-20.28741,13.13944,1.59231,53.90130,-2.81567,10.75137
2021-10-10_15-16-59.296,2993,32042,-20.33789,12.24435,1.64777,53.41373,-2.74388,9.68854
2021-10-10_15-16-59.304,3001,32043,-20.40432,11.35979,1.72952,52.94636,-2.75683,8.73721
2021-10-10_15-16-59.312,3009,32044,-20.48947,10.37150,1.83250,52.47255,-2.83290,7.93162
2021-10-10_15-16-59.320,3017,32045,-20.59517,9.52529,1.95138,52.03309,-2.91661,7.08056
2021-10-10_15-16-59.328,3025,32046,-20.71728,8.53746,2.07486,51.59198,-2.99498,6.18952
2021-10-10_15-16-59.336,3033,32047,-20.85430,7.70792,2.21722,51.19869,-3.05165,5.14796
2021-10-10_15-16-59.344,3041,32048,-20.99530,6.69109,2.38636,50.79676,-3.11214,3.95507
2021-10-10_15-16-59.352,3049,32049,-21.13691,5.80253,2.56529,50.44086,-3.17668,2.81956
2021-10-10_15-16-59.360,3057,32050,-21.27022,4.90186,2.71662,50.13002,-3.21735,1.62986
2021-10-10_15-16-59.368,3065,32051,-21.38253,3.98593,2.87165,49.86109,-3.24272,0.28405
2021-10-10_15-16-59.376,3073,32052,-21.48289,3.05875,2.99206,49.62563,-3.25093,-1.25154
2021-10-10_15-16-59.388,3085,32053,-21.57289,2.20167,3.08887,49.44473,-3.27281,-2.62076
2021-10-10_15-16-59.396,3093,32054,-21.65038,1.43049,3.17230,49.31039,-3.29813,-3.87709
2021-10-10_15-16-59.404,3101,32055,-21.71504,0.64528,3.26403,49.20087,-3.35444,-4.84019
2021-10-10_15-16-59.412,3109,32056,-21.76962,-0.20887,3.28678,49.11210,-3.39343,-5.73681
2021-10-10_15-16-59.420,3117,32057,-21.81397,-0.88559,3.26724,49.08156,-3.40186,-6.73037
2021-10-10_15-16-59.428,3125,32058,-21.85149,-1.56669,3.22320,49.06663,-3.40695,-7.78764
2021-10-10_15-16-59.436,3133,32059,-21.87061,-2.13944,3.15717,49.08999,-3.39947,-8.85839
2021-10-10_15-16-59.444,3141,32060,-21.87863,-2.64241,3.01345,49.13380,-3.36399,-9.84646
2021-10-10_15-16-59.452,3149,32061,-21.86980,-2.91258,2.72949,49.19336,-3.32933,-10.57555
2021-10-10_15-16-59.460,3157,32062,-21.84285,-3.07502,2.28901,49.26072,-3.27645,-11.16533
2021-10-10_15-16-59.468,3165,32063,-21.80233,-3.14040,1.67874,49.33708,-3.20236,-11.63885
2021-10-10_15-16-59.476,3173,32064,-21.73906,-3.19105,0.95753,49.42427,-3.10707,-12.01300
2021-10-10_15-16-59.484,3181,32065,-21.62795,-3.12650,0.16295,49.53942,-2.98359,-12.37618
2021-10-10_15-16-59.496,3193,32066,-21.41798,-3.05213,-0.54169,49.69373,-2.82331,-12.63365
2021-10-10_15-16-59.504,3201,32067,-21.14865,-2.95161,-1.36828,49.92091,-2.58998,-12.98412
2021-10-10_15-16-59.512,3209,32068,-20.85317,-2.85301,-2.18552,50.27051,-2.23923,-13.31074
2021-10-10_15-16-59.520,3217,32069,-20.55532,-2.69503,-3.01882,50.79839,-1.73986,-13.58582
2021-10-10_15-16-59.528,3225,32070,-20.25613,-2.52714,-3.82323,51.42483,-1.15367,-13.93231
2021-10-10_15-16-59.536,3233,32071,-19.97711,-2.31531,-4.56194,52.05981,-0.56947,-14.17667
2021-10-10_15-16-59.544,3241,32072,-19.69946,-2.07073,-5.27117,52.58371,-0.08100,-14.46799
2021-10-10_15-16-59.552,3249,32073,-19.43447,-1.78985,-5.87932,52.99646,0.31088,-14.67170
2021-10-10_15-16-59.560,3257,32074,-19.16931,-1.50585,-6.52204,53.34961,0.65363,-14.88014
2021-10-10_15-16-59.568,3265,32075,-18.91466,-1.22347,-7.10150,53.65818,0.95505,-15.02564
2021-10-10_15-16-59.576,3273,32076,-18.67843,-0.95833,-7.81553,53.92670,1.23751,-15.23751
2021-10-10_15-16-59.584,3281,32077,-18.46309,-0.63232,-8.41356,54.18304,1.49787,-15.38024
2021-10-10_15-16-59.592,3289,32078,-18.26870,-0.26582,-9.01241,54.41685,1.74059,-15.51082
2021-10-10_15-16-59.604,3301,32079,-18.10480,0.11594,-9.61998,54.61861,1.96463,-15.65254
2021-10-10_15-16-59.612,3309,32080,-17.95141,0.46131,-10.22228,54.80976,2.17366,-15.76208
2021-10-10_15-16-59.620,3317,32081,-17.81156,0.77264,-10.80604,54.97668,2.36838,-15.88517
2021-10-10_15-16-59.628,3325,32082,-17.67899,1.02930,-11.40046,55.12819,2.55099,-16.02363
2021-10-10_15-16-59.636,3333,32083,-17.55056,1.33688,-11.92010,55.27535,2.71643,-16.12337
2021-10-10_15-16-59.644,3341,32084,-17.43254,1.64496,-12.47558,55.39855,2.86953,-16.24525
2021-10-10_15-16-59.652,3349,32085,-17.31427,1.83439,-13.01488,55.50040,3.01470,-16.39702
2021-10-10_15-16-59.660,3357,32086,-17.20496,2.02138,-13.55243,55.58809,3.14325,-16.51560
2021-10-10_15-16-59.668,3365,32087,-17.08620,2.19999,-14.05450,55.67694,3.26187,-16.66718
2021-10-10_15-16-59.676,3373,32088,-16.97641,2.37685,-14.54385,55.74833,3.37206,-16.80286
2021-10-10_15-16-59.684,3381,32089,-16.87154,2.51470,-15.05441,55.80179,3.47394,-16.97941
2021-10-10_15-16-59.692,3389,32090,-16.76678,2.66191,-15.50047,55.85825,3.56512,-17.12805
2021-10-10_15-16-59.700,3397,32091,-16.67107,2.81479,-15.82688,55.90819,3.64330,-17.26166
2021-10-10_15-16-59.712,3409,32092,-16.57634,2.95553,-16.10999,55.95822,3.71179,-17.38757
2021-10-10_15-16-59.720,3417,32093,-16.48587,3.15897,-16.36092,56.01236,3.77069,-17.49498
2021-10-10_15-16-59.728,3425,32094,-16.40179,3.34718,-16.60128,56.04948,3.82330,-17.62221
2021-10-10_15-16-59.736,3433,32095,-16.32507,3.55568,-16.83147,56.09142,3.86962,-17.72096
2021-10-10_15-16-59.744,3441,32096,-16.25713,3.72448,-17.03269,56.12286,3.90645,-17.80863
2021-10-10_15-16-59.752,3449,32097,-16.19423,3.88291,-17.21653,56.14759,3.93558,-17.89893
2021-10-10_15-16-59.760,3457,32098,-16.14144,4.03749,-17.36570,56.17409,3.95817,-17.94342
2021-10-10_15-16-59.768,3465,32099,-16.09306,4.17790,-17.50447,56.18903,3.97508,-18.01523
2021-10-10_15-16-59.776,3473,32100,-16.04905,4.32786,-17.62948,56.20033,3.98678,-18.09268
2021-10-10_15-16-59.784,3481,32101,-16.01741,4.48104,-17.68568,56.22070,3.99093,-18.08267
2021-10-10_15-16-59.792,3489,32102,-15.99008,4.62025,-17.75081,56.22805,3.99452,-18.09203
2021-10-10_15-16-59.800,3497,32103,-15.96302,4.79100,-17.79015,56.24629,3.99176,-18.07951
2021-10-10_15-16-59.808,3505,32104,-15.94480,4.99394,-17.82690,56.25555,3.98832,-18.06342
2021-10-10_15-16-59.820,3517,32105,-15.93072,5.24752,-17.84248,56.27468,3.98284,-18.00054
2021-10-10_15-16-59.828,3525,32106,-15.92295,5.54800,-17.83715,56.29134,3.97586,-17.92623
2021-10-10_15-16-59.836,3533,32107,-15.91580,5.93326,-17.81243,56.31541,3.96770,-17.83007
2021-10-10_15-16-59.844,3541,32108,-15.91236,6.43133,-17.75754,56.35377,3.95390,-17.68548
2021-10-10_15-16-59.852,3549,32109,-15.91039,6.88414,-17.71120,56.40372,3.94220,-17.50349
2021-10-10_15-16-59.860,3557,32110,-15.91490,7.43714,-17.63391,56.48531,3.92835,-17.21429
2021-10-10_15-16-59.868,3565,32111,-15.92127,7.98059,-17.53529,56.63921,3.91860,-16.71122
2021-10-10_15-16-59.876,3573,32112,-15.92996,8.52871,-17.38663,56.94751,3.91250,-15.76307
2021-10-10_15-16-59.884,3581,32113,-15.94142,9.09202,-17.11199,57.36180,3.89666,-14.51330
2021-10-10_15-16-59.892,3589,32114,-15.95672,9.65075,-16.65669,57.80173,3.86127,-13.17040
2021-10-10_15-16-59.900,3597,32115,-15.97440,10.18085,-16.10078,58.31404,3.79905,-11.59003
2021-10-10_15-16-59.908,3605,32116,-15.99435,10.70848,-15.57510,58.69576,3.72190,-10.37893
2021-10-10_15-16-59.916,3613,32117,-16.02267,11.36634,-14.88108,59.13902,3.59826,-8.95096
2021-10-10_15-16-59.928,3625,32118,-16.06087,11.97791,-14.18066,59.51293,3.45023,-7.70756
2021-10-10_15-16-59.936,3633,32119,-16.11273,12.59539,-13.56299,59.82178,3.28216,-6.64411
2021-10-10_15-16-59.944,3641,32120,-16.18339,13.30706,-12.89563,60.15057,3.06691,-5.53113
2021-10-10_15-16-59.952,3649,32121,-16.27380,13.93361,-12.28083,60.46110,2.81571,-4.48718
2021-10-10_15-16-59.960,3657,32122,-16.38571,14.54984,-11.60505,60.75923,2.52073,-3.48744
2021-10-10_15-16-59.968,3665,32123,-16.50556,15.08829,-10.92695,61.07318,2.17217,-2.47366
2021-10-10_15-16-59.976,3673,32124,-16.63600,15.67916,-10.22426,61.34791,1.79978,-1.62249
2021-10-10_15-16-59.984,3681,32125,-16.76889,16.26716,-9.52044,61.69360,1.34231,-0.60668
2021-10-10_15-16-59.992,3689,32126,-16.90349,16.88289,-8.80643,62.09238,0.80763,0.51382
2021-10-10_15-17-00.000,3697,32127,-17.02965,17.50024,-8.10396,62.49727,0.23733,1.56903
2021-10-10_15-17-00.008,3705,32128,-17.16210,18.16837,-7.32055,62.91597,-0.38439,2.59338
2021-10-10_15-17-00.016,3713,32129,-17.28835,18.81716,-6.48449,63.39457,-1.09495,3.67635
2021-10-10_15-17-00.028,3725,32130,-17.41341,19.51884,-5.71164,63.94470,-1.89038,4.88429
2021-10-10_15-17-00.036,3733,32131,-17.54427,20.15457,-4.89719,64.49880,-2.71528,6.13822
2021-10-10_15-17-00.044,3741,32132,-17.67846,20.74905,-4.10845,65.07075,-3.57744,7.53112
2021-10-10_15-17-00.052,3749,32133,-17.81607,21.32059,-3.39292,65.55299,-4.34611,8.76008
2021-10-10_15-17-00.060,3757,32134,-17.97174,21.98908,-2.62590,65.93185,-5.00286,9.64401
2021-10-10_15-17-00.068,3765,32135,-18.14880,22.59255,-1.98210,66.22823,-5.55973,10.37906
2021-10-10_15-17-00.076,3773,32136,-18.33704,23.14635,-1.27593,66.49156,-6.09038,11.02705
2021-10-10_15-17-00.084,3781,32137,-18.53367,23.66029,-0.57287,66.73415,-6.60423,11.66267
2021-10-10_15-17-00.092,3789,32138,-18.70373,24.09979,0.08732,67.00035,-7.15550,12.37663
2021-10-10_15-17-00.100,3797,32139,-18.85971,24.49836,0.73072,67.25774,-7.70074,13.09437
2021-10-10_15-17-00.108,3805,32140,-19.00492,24.81223,1.38293,67.48782,-8.22962,13.79742
2021-10-10_15-17-00.116,3813,32141,-19.13336,25.09211,1.97372,67.71156,-8.74293,14.47380
2021-10-10_15-17-00.124,3821,32142,-19.25912,25.32267,2.58544,67.95943,-9.31780,15.28008
2021-10-10_15-17-00.136,3833,32143,-19.38111,25.55244,3.16309,68.19505,-9.87147,16.05935
2021-10-10_15-17-00.144,3841,32144,-19.50025,25.78741,3.69894,68.38744,-10.34522,16.65310
2021-10-10_15-17-00.152,3849,32145,-19.62569,26.04437,4.31631,68.57526,-10.82062,17.20165
2021-10-10_15-17-00.160,3857,32146,-19.75897,26.30196,4.87206,68.73367,-11.24678,17.65605
2021-10-10_15-17-00.168,3865,32147,-19.90099,26.60918,5.38921,68.88167,-11.63030,18.02776
2021-10-10_15-17-00.176,3873,32148,-20.04447,26.96172,5.92463,69.03280,-12.02037,18.38779
2021-10-10_15-17-00.184,3881,32149,-20.19421,27.28919,6.43807,69.15731,-12.36563,18.68502
2021-10-10_15-17-00.192,3889,32150,-20.34442,27.57763,6.94011,69.29429,-12.73386,19.02653
2021-10-10_15-17-00.200,3897,32151,-20.47663,27.79459,7.45301,69.44865,-13.13575,19.41615
2021-10-10_15-17-00.208,3905,32152,-20.60693,28.01660,7.96469,69.60849,-13.53959,19.80577
2021-10-10_15-17-00.216,3913,32153,-20.74022,28.26504,8.45395,69.76921,-13.93133,20.17090
2021-10-10_15-17-00.224,3921,32154,-20.85002,28.50494,8.88794,69.93134,-14.30125,20.50113
2021-10-10_15-17-00.232,3929,32155,-20.95383,28.74166,9.28095,70.09812,-14.66734,20.81679
2021-10-10_15-17-00.244,3941,32156,-21.05481,28.98036,9.59347,70.24792,-14.99562,21.11088
2021-10-10_15-17-00.252,3949,32157,-21.14621,29.22438,9.86171,70.40096,-15.31492,21.40869
2021-10-10_15-17-00.260,3957,32158,-21.22919,29.44588,10.09953,70.56115,-15.65262,21.75289
2021-10-10_15-17-00.268,3965,32159,-21.29646,29.62081,10.29916,70.72165,-15.99628,22.13672
2021-10-10_15-17-00.276,3973,32160,-21.37061,29.82256,10.47298,70.84863,-16.25661,22.41527
2021-10-10_15-17-00.284,3981,32161,-21.43873,30.02256,10.63227,70.97832,-16.51522,22.70326
2021-10-10_15-17-00.292,3989,32162,-21.50076,30.20731,10.76459,71.07717,-16.71443,22.91984
2021-10-10_15-17-00.300,3997,32163,-21.54817,30.34804,10.84400,71.18801,-16.94955,23.23850
2021-10-10_15-17-00.308,4005,32164,-21.59000,30.47801,10.90337,71.27918,-17.13636,23.49594
2021-10-10_15-17-00.316,4013,32165,-21.62548,30.58576,10.94444,71.35870,-17.29630,23.72800
2021-10-10_15-17-00.324,4021,32166,-21.65105,30.64773,10.96291,71.42831,-17.45110,23.97395
2021-10-10_15-17-00.332,4029,32167,-21.66146,30.67832,10.93990,71.49052,-17.59377,24.23622
2021-10-10_15-17-00.340,4037,32168,-21.66758,30.69535,10.90571,71.54675,-17.72616,24.49263
2021-10-10_15-17-00.352,4049,32169,-21.67481,30.71857,10.86976,71.55707,-17.75689,24.59228
2021-10-10_15-17-00.360,4057,32170,-21.66797,30.70132,10.79549,71.56316,-17.79244,24.73598
2021-10-10_15-17-00.368,4065,32171,-21.65692,30.66350,10.70088,71.55303,-17.80114,24.84789
2021-10-10_15-17-00.376,4073,32172,-21.63971,30.60869,10.56541,71.52357,-17.77945,24.93207
2021-10-10_15-17-00.384,4081,32173,-21.61884,30.53984,10.34448,71.46651,-17.70986,24.96579
2021-10-10_15-17-00.392,4089,32174,-21.59308,30.45346,9.94675,71.39594,-17.63195,25.03573
2021-10-10_15-17-00.400,4097,32175,-21.56138,30.32860,9.41940,71.27672,-17.49764,25.09360
2021-10-10_15-17-00.408,4105,32176,-21.51760,30.10147,8.85151,71.08882,-17.29169,25.16327
2021-10-10_15-17-00.416,4113,32177,-21.45426,29.71584,8.25474,70.83538,-17.02519,25.29752
2021-10-10_15-17-00.424,4121,32178,-21.36477,29.20282,7.65910,70.49487,-16.66472,25.44267
2021-10-10_15-17-00.432,4129,32179,-21.23846,28.52844,6.98999,70.02750,-16.18536,25.69489
2021-10-10_15-17-00.440,4137,32180,-21.06706,27.87831,6.34175,69.55526,-15.69140,25.94804
2021-10-10_15-17-00.448,4145,32181,-20.87605,27.22764,5.71298,69.10688,-15.20690,26.15085
2021-10-10_15-17-00.460,4157,32182,-20.70358,26.65227,5.10680,68.72918,-14.77538,26.23522
2021-10-10_15-17-00.468,4165,32183,-20.54635,26.06597,4.50553,68.40379,-14.39049,26.24104
2021-10-10_15-17-00.476,4173,32184,-20.41502,25.50902,3.94691,68.10027,-14.01824,26.14147
2021-10-10_15-17-00.484,4181,32185,-20.29618,24.92021,3.34438,67.77430,-13.60730,25.91393
2021-10-10_15-17-00.492,4189,32186,-20.18971,24.34987,2.70812,67.42346,-13.16039,25.55921
